DOM1	AGGR_STRATUM	X1	X2	X3
1	1	1	1	1
1	1	2	4	1
1	1	5	4	1
1	2	1	2	1
1	2	1	3	1
1	2	2	3	1
1	3	1	4	1
1	3	3	1	1
1	3	4	3	1
1	4	1	5	1
1	5	2	1	1
1	5	4	1	1
1	6	2	2	1
1	6	3	2	1
1	6	5	1	1
1	7	2	5	1
1	7	4	5	1
1	8	3	3	1
1	9	3	4	1
1	9	4	4	1
1	10	3	5	1
1	11	4	2	1
1	11	5	2	1
1	12	5	3	1
1	13	5	5	1
2	1	1	1	2
2	1	2	1	2
2	2	1	2	2
2	2	4	1	2
2	3	1	3	2
2	3	3	3	2
2	4	1	4	2
2	4	2	4	2
2	4	3	4	2
2	4	5	4	2
2	5	1	5	2
2	5	4	5	2
2	6	2	2	2
2	6	3	1	2
2	6	5	2	2
2	7	2	3	2
2	8	2	5	2
2	8	3	5	2
2	8	5	5	2
2	9	3	2	2
2	9	4	2	2
2	9	5	1	2
2	10	4	3	2
2	10	5	3	2
2	11	4	4	2
3	1	1	1	3
3	1	2	4	3
3	1	3	3	3
3	1	5	3	3
3	2	1	2	3
3	2	4	5	3
3	3	1	3	3
3	4	1	4	3
3	4	4	1	3
3	5	1	5	3
3	5	2	3	3
3	5	3	1	3
3	5	4	2	3
3	5	5	4	3
3	6	2	1	3
3	6	5	2	3
3	6	5	5	3
3	7	2	2	3
3	7	4	3	3
3	8	2	5	3
3	8	3	2	3
3	9	3	4	3
3	9	4	4	3
3	10	3	5	3
3	10	5	1	3
